order_id,order_date,financial_status,product_id,variant_id,sku,product_title,quantity,unit_price,total_price
100000,2022-01-01,paid,9519923233000,48630833053928,VARIANT_48630833053928,Selling Plans Ski Wax,2,24.95,49.9
100001,2022-01-02,paid,9519923233000,48630833053928,VARIANT_48630833053928,Selling Plans Ski Wax,1,24.95,24.95
100002,2022-01-03,paid,9519923233000,48630833053928,VARIANT_48630833053928,Selling Plans Ski Wax,3,24.95,74.85
100003,2022-01-04,paid,9519923233000,48630833053928,VARIANT_48630833053928,Selling Plans Ski Wax,3,24.95,74.85
100004,2022-01-05,paid,9519923233000,48630833053928,VARIANT_48630833053928,Selling Plans Ski Wax,1,24.95,24.95
100005,2022-01-06,paid,9519923233000,48630833053928,VARIANT_48630833053928,Selling Plans Ski Wax,2,24.95,49.9
100006,2022-01-07,paid,9519923233000,48630833053928,VARIANT_48630833053928,Selling Plans Ski Wax,1,24.95,24.95
100007,2022-01-08,paid,9519923233000,48630833053928,VARIANT_48630833053928,Selling Plans Ski Wax,1,24.95,24.95
100008,2022-01-09,paid,9519923233000,48630833053928,VARIANT_48630833053928,Selling Plans Ski Wax,2,24.95,49.9
100009,2022-01-10,paid,9519923233000,48630833053928,VARIANT_48630833053928,Selling Plans Ski Wax,2,24.95,49.9
100010,2022-01-11,paid,9519923233000,48630833053928,VARIANT_48630833053928,Selling Plans Ski Wax,1,24.95,24.95
100011,2022-01-13,paid,9519923233000,48630833053928,VARIANT_48630833053928,Selling Plans Ski Wax,4,24.95,99.8
100012,2022-01-14,paid,9519923233000,48630833053928,VARIANT_48630833053928,Selling Plans Ski Wax,2,24.95,49.9
100013,2022-01-15,paid,9519923233000,48630833053928,VARIANT_48630833053928,Selling Plans Ski Wax,1,24.95,24.95
100014,2022-01-16,paid,9519923233000,48630833053928,VARIANT_48630833053928,Selling Plans Ski Wax,3,24.95,74.85
100015,2022-01-17,paid,9519923233000,48630833053928,VARIANT_48630833053928,Selling Plans Ski Wax,2,24.95,49.9
100016,2022-01-18,paid,9519923233000,48630833053928,VARIANT_48630833053928,Selling Plans Ski Wax,6,24.95,149.7
100017,2022-01-19,paid,9519923233000,48630833053928,VARIANT_48630833053928,Selling Plans Ski Wax,1,24.95,24.95
100018,2022-01-20,paid,9519923233000,48630833053928,VARIANT_48630833053928,Selling Plans Ski Wax,2,24.95,49.9
100019,2022-01-21,paid,9519923233000,48630833053928,VARIANT_48630833053928,Selling Plans Ski Wax,2,24.95,49.9
100020,2022-01-22,paid,9519923233000,48630833053928,VARIANT_48630833053928,Selling Plans Ski Wax,1,24.95,24.95
100021,2022-01-23,paid,9519923233000,48630833053928,VARIANT_48630833053928,Selling Plans Ski Wax,1,24.95,24.95
100022,2022-01-24,paid,9519923233000,48630833053928,VARIANT_48630833053928,Selling Plans Ski Wax,3,24.95,74.85
100023,2022-01-25,paid,9519923233000,48630833053928,VARIANT_48630833053928,Selling Plans Ski Wax,4,24.95,99.8
100024,2022-01-26,paid,9519923233000,48630833053928,VARIANT_48630833053928,Selling Plans Ski Wax,1,24.95,24.95
100025,2022-01-27,paid,9519923233000,48630833053928,VARIANT_48630833053928,Selling Plans Ski Wax,3,24.95,74.85
100026,2022-01-28,paid,9519923233000,48630833053928,VARIANT_48630833053928,Selling Plans Ski Wax,1,24.95,24.95
100027,2022-01-29,paid,9519923233000,48630833053928,VARIANT_48630833053928,Selling Plans Ski Wax,4,24.95,99.8
100028,2022-01-30,paid,9519923233000,48630833053928,VARIANT_48630833053928,Selling Plans Ski Wax,5,24.95,124.75
100029,2022-01-31,paid,9519923233000,48630833053928,VARIANT_48630833053928,Selling Plans Ski Wax,1,24.95,24.95
100030,2022-02-01,paid,9519923233000,48630833053928,VARIANT_48630833053928,Selling Plans Ski Wax,1,24.95,24.95
100031,2022-02-02,paid,9519923233000,48630833053928,VARIANT_48630833053928,Selling Plans Ski Wax,2,24.95,49.9
100032,2022-02-03,paid,9519923233000,48630833053928,VARIANT_48630833053928,Selling Plans Ski Wax,2,24.95,49.9
100033,2022-02-04,paid,9519923233000,48630833053928,VARIANT_48630833053928,Selling Plans Ski Wax,2,24.95,49.9
100034,2022-02-05,paid,9519923233000,48630833053928,VARIANT_48630833053928,Selling Plans Ski Wax,1,24.95,24.95
100035,2022-02-06,paid,9519923233000,48630833053928,VARIANT_48630833053928,Selling Plans Ski Wax,5,24.95,124.75
100036,2022-02-07,paid,9519923233000,48630833053928,VARIANT_48630833053928,Selling Plans Ski Wax,5,24.95,124.75
100037,2022-02-08,paid,9519923233000,48630833053928,VARIANT_48630833053928,Selling Plans Ski Wax,1,24.95,24.95
100038,2022-02-09,paid,9519923233000,48630833053928,VARIANT_48630833053928,Selling Plans Ski Wax,2,24.95,49.9
100039,2022-02-10,paid,9519923233000,48630833053928,VARIANT_48630833053928,Selling Plans Ski Wax,2,24.95,49.9
100040,2022-02-11,paid,9519923233000,48630833053928,VARIANT_48630833053928,Selling Plans Ski Wax,1,24.95,24.95
100041,2022-02-12,paid,9519923233000,48630833053928,VARIANT_48630833053928,Selling Plans Ski Wax,4,24.95,99.8
100042,2022-02-13,paid,9519923233000,48630833053928,VARIANT_48630833053928,Selling Plans Ski Wax,4,24.95,99.8
100043,2022-02-14,paid,9519923233000,48630833053928,VARIANT_48630833053928,Selling Plans Ski Wax,1,24.95,24.95
100044,2022-02-15,paid,9519923233000,48630833053928,VARIANT_48630833053928,Selling Plans Ski Wax,2,24.95,49.9
100045,2022-02-16,paid,9519923233000,48630833053928,VARIANT_48630833053928,Selling Plans Ski Wax,2,24.95,49.9
100046,2022-02-17,paid,9519923233000,48630833053928,VARIANT_48630833053928,Selling Plans Ski Wax,1,24.95,24.95
100047,2022-02-18,paid,9519923233000,48630833053928,VARIANT_48630833053928,Selling Plans Ski Wax,4,24.95,99.8
100048,2022-02-19,paid,9519923233000,48630833053928,VARIANT_48630833053928,Selling Plans Ski Wax,4,24.95,99.8
100049,2022-02-21,paid,9519923233000,48630833053928,VARIANT_48630833053928,Selling Plans Ski Wax,2,24.95,49.9
100050,2022-02-23,paid,9519923233000,48630833053928,VARIANT_48630833053928,Selling Plans Ski Wax,2,24.95,49.9
100051,2022-02-24,paid,9519923233000,48630833053928,VARIANT_48630833053928,Selling Plans Ski Wax,2,24.95,49.9
100052,2022-02-25,paid,9519923233000,48630833053928,VARIANT_48630833053928,Selling Plans Ski Wax,2,24.95,49.9
100053,2022-02-26,paid,9519923233000,48630833053928,VARIANT_48630833053928,Selling Plans Ski Wax,2,24.95,49.9
100054,2022-02-27,paid,9519923233000,48630833053928,VARIANT_48630833053928,Selling Plans Ski Wax,2,24.95,49.9
100055,2022-02-28,paid,9519923233000,48630833053928,VARIANT_48630833053928,Selling Plans Ski Wax,3,24.95,74.85
100056,2022-03-01,paid,9519923233000,48630833053928,VARIANT_48630833053928,Selling Plans Ski Wax,2,24.95,49.9
100057,2022-03-02,paid,9519923233000,48630833053928,VARIANT_48630833053928,Selling Plans Ski Wax,4,24.95,99.8
100058,2022-03-03,paid,9519923233000,48630833053928,VARIANT_48630833053928,Selling Plans Ski Wax,5,24.95,124.75
100059,2022-03-04,paid,9519923233000,48630833053928,VARIANT_48630833053928,Selling Plans Ski Wax,2,24.95,49.9
100060,2022-03-06,paid,9519923233000,48630833053928,VARIANT_48630833053928,Selling Plans Ski Wax,1,24.95,24.95
100061,2022-03-08,paid,9519923233000,48630833053928,VARIANT_48630833053928,Selling Plans Ski Wax,1,24.95,24.95
100062,2022-03-09,paid,9519923233000,48630833053928,VARIANT_48630833053928,Selling Plans Ski Wax,3,24.95,74.85
100063,2022-03-10,paid,9519923233000,48630833053928,VARIANT_48630833053928,Selling Plans Ski Wax,1,24.95,24.95
100064,2022-03-11,paid,9519923233000,48630833053928,VARIANT_48630833053928,Selling Plans Ski Wax,5,24.95,124.75
100065,2022-03-12,paid,9519923233000,48630833053928,VARIANT_48630833053928,Selling Plans Ski Wax,2,24.95,49.9
100066,2022-03-13,paid,9519923233000,48630833053928,VARIANT_48630833053928,Selling Plans Ski Wax,5,24.95,124.75
100067,2022-03-14,paid,9519923233000,48630833053928,VARIANT_48630833053928,Selling Plans Ski Wax,2,24.95,49.9
100068,2022-03-15,paid,9519923233000,48630833053928,VARIANT_48630833053928,Selling Plans Ski Wax,2,24.95,49.9
100069,2022-03-16,paid,9519923233000,48630833053928,VARIANT_48630833053928,Selling Plans Ski Wax,4,24.95,99.8
100070,2022-03-17,paid,9519923233000,48630833053928,VARIANT_48630833053928,Selling Plans Ski Wax,1,24.95,24.95
100071,2022-03-18,paid,9519923233000,48630833053928,VARIANT_48630833053928,Selling Plans Ski Wax,5,24.95,124.75
100072,2022-03-19,paid,9519923233000,48630833053928,VARIANT_48630833053928,Selling Plans Ski Wax,3,24.95,74.85
100073,2022-03-20,paid,9519923233000,48630833053928,VARIANT_48630833053928,Selling Plans Ski Wax,4,24.95,99.8
100074,2022-03-21,paid,9519923233000,48630833053928,VARIANT_48630833053928,Selling Plans Ski Wax,2,24.95,49.9
100075,2022-03-22,paid,9519923233000,48630833053928,VARIANT_48630833053928,Selling Plans Ski Wax,5,24.95,124.75
100076,2022-03-23,paid,9519923233000,48630833053928,VARIANT_48630833053928,Selling Plans Ski Wax,5,24.95,124.75
100077,2022-03-24,paid,9519923233000,48630833053928,VARIANT_48630833053928,Selling Plans Ski Wax,6,24.95,149.7
100078,2022-03-25,paid,9519923233000,48630833053928,VARIANT_48630833053928,Selling Plans Ski Wax,1,24.95,24.95
100079,2022-03-26,paid,9519923233000,48630833053928,VARIANT_48630833053928,Selling Plans Ski Wax,1,24.95,24.95
100080,2022-03-27,paid,9519923233000,48630833053928,VARIANT_48630833053928,Selling Plans Ski Wax,2,24.95,49.9
100081,2022-03-28,paid,9519923233000,48630833053928,VARIANT_48630833053928,Selling Plans Ski Wax,1,24.95,24.95
100082,2022-03-30,paid,9519923233000,48630833053928,VARIANT_48630833053928,Selling Plans Ski Wax,2,24.95,49.9
100083,2022-03-31,paid,9519923233000,48630833053928,VARIANT_48630833053928,Selling Plans Ski Wax,2,24.95,49.9
100084,2022-04-01,paid,9519923233000,48630833053928,VARIANT_48630833053928,Selling Plans Ski Wax,1,24.95,24.95
100085,2022-04-03,paid,9519923233000,48630833053928,VARIANT_48630833053928,Selling Plans Ski Wax,5,24.95,124.75
100086,2022-04-04,paid,9519923233000,48630833053928,VARIANT_48630833053928,Selling Plans Ski Wax,2,24.95,49.9
100087,2022-04-05,paid,9519923233000,48630833053928,VARIANT_48630833053928,Selling Plans Ski Wax,1,24.95,24.95
100088,2022-04-07,paid,9519923233000,48630833053928,VARIANT_48630833053928,Selling Plans Ski Wax,4,24.95,99.8
100089,2022-04-08,paid,9519923233000,48630833053928,VARIANT_48630833053928,Selling Plans Ski Wax,1,24.95,24.95
100090,2022-04-09,paid,9519923233000,48630833053928,VARIANT_48630833053928,Selling Plans Ski Wax,3,24.95,74.85
100091,2022-04-10,paid,9519923233000,48630833053928,VARIANT_48630833053928,Selling Plans Ski Wax,5,24.95,124.75
100092,2022-04-11,paid,9519923233000,48630833053928,VARIANT_48630833053928,Selling Plans Ski Wax,2,24.95,49.9
100093,2022-04-12,paid,9519923233000,48630833053928,VARIANT_48630833053928,Selling Plans Ski Wax,1,24.95,24.95
100094,2022-04-14,paid,9519923233000,48630833053928,VARIANT_48630833053928,Selling Plans Ski Wax,3,24.95,74.85
100095,2022-04-15,paid,9519923233000,48630833053928,VARIANT_48630833053928,Selling Plans Ski Wax,2,24.95,49.9
100096,2022-04-16,paid,9519923233000,48630833053928,VARIANT_48630833053928,Selling Plans Ski Wax,3,24.95,74.85
100097,2022-04-18,paid,9519923233000,48630833053928,VARIANT_48630833053928,Selling Plans Ski Wax,4,24.95,99.8
100098,2022-04-19,paid,9519923233000,48630833053928,VARIANT_48630833053928,Selling Plans Ski Wax,1,24.95,24.95
100099,2022-04-20,paid,9519923233000,48630833053928,VARIANT_48630833053928,Selling Plans Ski Wax,1,24.95,24.95
100100,2022-04-21,paid,9519923233000,48630833053928,VARIANT_48630833053928,Selling Plans Ski Wax,4,24.95,99.8
100101,2022-04-22,paid,9519923233000,48630833053928,VARIANT_48630833053928,Selling Plans Ski Wax,4,24.95,99.8
100102,2022-04-23,paid,9519923233000,48630833053928,VARIANT_48630833053928,Selling Plans Ski Wax,2,24.95,49.9
100103,2022-04-24,paid,9519923233000,48630833053928,VARIANT_48630833053928,Selling Plans Ski Wax,1,24.95,24.95
100104,2022-04-25,paid,9519923233000,48630833053928,VARIANT_48630833053928,Selling Plans Ski Wax,1,24.95,24.95
100105,2022-04-27,paid,9519923233000,48630833053928,VARIANT_48630833053928,Selling Plans Ski Wax,2,24.95,49.9
100106,2022-04-28,paid,9519923233000,48630833053928,VARIANT_48630833053928,Selling Plans Ski Wax,2,24.95,49.9
100107,2022-04-29,paid,9519923233000,48630833053928,VARIANT_48630833053928,Selling Plans Ski Wax,5,24.95,124.75
100108,2022-04-30,paid,9519923233000,48630833053928,VARIANT_48630833053928,Selling Plans Ski Wax,4,24.95,99.8
100109,2022-05-01,paid,9519923233000,48630833053928,VARIANT_48630833053928,Selling Plans Ski Wax,4,24.95,99.8
100110,2022-05-02,paid,9519923233000,48630833053928,VARIANT_48630833053928,Selling Plans Ski Wax,3,24.95,74.85
100111,2022-05-03,paid,9519923233000,48630833053928,VARIANT_48630833053928,Selling Plans Ski Wax,5,24.95,124.75
100112,2022-05-05,paid,9519923233000,48630833053928,VARIANT_48630833053928,Selling Plans Ski Wax,1,24.95,24.95
100113,2022-05-06,paid,9519923233000,48630833053928,VARIANT_48630833053928,Selling Plans Ski Wax,5,24.95,124.75
100114,2022-05-07,paid,9519923233000,48630833053928,VARIANT_48630833053928,Selling Plans Ski Wax,2,24.95,49.9
100115,2022-05-08,paid,9519923233000,48630833053928,VARIANT_48630833053928,Selling Plans Ski Wax,3,24.95,74.85
100116,2022-05-09,paid,9519923233000,48630833053928,VARIANT_48630833053928,Selling Plans Ski Wax,1,24.95,24.95
100117,2022-05-10,paid,9519923233000,48630833053928,VARIANT_48630833053928,Selling Plans Ski Wax,3,24.95,74.85
100118,2022-05-11,paid,9519923233000,48630833053928,VARIANT_48630833053928,Selling Plans Ski Wax,1,24.95,24.95
100119,2022-05-12,paid,9519923233000,48630833053928,VARIANT_48630833053928,Selling Plans Ski Wax,2,24.95,49.9
100120,2022-05-14,paid,9519923233000,48630833053928,VARIANT_48630833053928,Selling Plans Ski Wax,1,24.95,24.95
100121,2022-05-15,paid,9519923233000,48630833053928,VARIANT_48630833053928,Selling Plans Ski Wax,2,24.95,49.9
100122,2022-05-16,paid,9519923233000,48630833053928,VARIANT_48630833053928,Selling Plans Ski Wax,1,24.95,24.95
100123,2022-05-17,paid,9519923233000,48630833053928,VARIANT_48630833053928,Selling Plans Ski Wax,5,24.95,124.75
